distance,Concentrat,strassenkl,dtvw_kfz_m,dtvw_lkw_m,traff_mean
16850.000000000000000,5769.000000,V,,,
16950.000000000000000,6422.500000,V,,,
17050.000000000000000,7283.500000,,,,
17150.000000000000000,5823.000000,,,,
17250.000000000000000,5346.500000,III,9250.000000,275.000000,11450.000000
17350.000000000000000,5245.000000,III,9250.000000,275.000000,11450.000000
17450.000000000000000,7118.500000,III,30200.000000,2393.333333,49346.666667
17550.000000000000000,7192.000000,I,30200.000000,2393.333333,49346.666667
17650.000000000000000,14257.000000,III,25700.000000,1770.000000,39860.000000
17750.000000000000000,7940.000000,III,9600.000000,270.000000,11760.000000
17850.000000000000000,9188.500000,III,9600.000000,270.000000,11760.000000
17950.000000000000000,10235.500000,III,9275.000000,317.500000,11815.000000
18050.000000000000000,10862.000000,III,9275.000000,317.500000,11815.000000
18150.000000000000000,5602.500000,III,8720.000000,292.000000,11056.000000
18250.000000000000000,4675.000000,III,6500.000000,190.000000,8020.000000
18350.000000000000000,4912.000000,III,6500.000000,190.000000,8020.000000
18450.000000000000000,4262.000000,III,6250.000000,180.000000,7690.000000
18550.000000000000000,4525.000000,III,6166.666667,176.666667,7580.000000
18650.000000000000000,4542.500000,III,6000.000000,170.000000,7360.000000
18750.000000000000000,4531.000000,III,6000.000000,170.000000,7360.000000
18850.000000000000000,5784.000000,III,6000.000000,170.000000,7360.000000
18950.000000000000000,6939.000000,III,6000.000000,170.000000,7360.000000
19050.000000000000000,9104.500000,III,6000.000000,170.000000,7360.000000
19150.000000000000000,11019.000000,III,6000.000000,170.000000,7360.000000
19250.000000000000000,12253.000000,III,6000.000000,170.000000,7360.000000
19350.000000000000000,,III,6000.000000,170.000000,7360.000000
19450.000000000000000,,III,6000.000000,170.000000,7360.000000
19550.000000000000000,7291.500000,III,8783.333333,241.666667,10716.666667
19650.000000000000000,7325.500000,III,8783.333333,241.666667,10716.666667
19750.000000000000000,6921.000000,III,12033.333333,346.666667,14806.666667
